(base) xiazeyu@d01:/mnt/data_x3/xiazeyu/stanford-cs336-main/assignment1-basics/cs
336_basics$ conda activate cs336
(cs336) xiazeyu@d01:/mnt/data_x3/xiazeyu/stanford-cs336-main/assignment1-basics/c
s336_basics$ cd /mnt/data_x3/xiazeyu/stanford-cs336-main/assignment1-basics/cs336
_basics
(cs336) xiazeyu@d01:/mnt/data_x3/xiazeyu/stanford-cs336-main/assignment1-basics/c
s336_basics$ python train_loop.py
模型参数数量: 22,696,448
训练数据加载完成:
  - 文件路径: ../artifacts/tinystories_train.bin
  - Token 总数: 540,803,381
  - 数据类型: uint16
  - 内存占用: 1031.50 MB (虚拟，实际按需加载)
total_steps: 10000

训练设备: cuda
总训练步数: 10000
评估间隔: 100 步
Step 2260/10000 | Train Loss: 2.1324
Step 2270/10000 | Train Loss: 2.2255
Step 2280/10000 | Train Loss: 2.1390
Step 2290/10000 | Train Loss: 2.1004
Step 2300/10000 | Train Loss: 2.1483 | Eval Train Loss: 2.1901
Step 2310/10000 | Train Loss: 2.1687
Step 2320/10000 | Train Loss: 2.1487
Step 2330/10000 | Train Loss: 2.1450
Step 2340/10000 | Train Loss: 2.1769
Step 2350/10000 | Train Loss: 2.1317
Step 2360/10000 | Train Loss: 2.2119
Step 2370/10000 | Train Loss: 2.1224
Step 2380/10000 | Train Loss: 2.1034
Step 2390/10000 | Train Loss: 2.2083
Step 2400/10000 | Train Loss: 2.1293 | Eval Train Loss: 2.1421
Step 2410/10000 | Train Loss: 2.1711
Step 2420/10000 | Train Loss: 2.1395
Step 2430/10000 | Train Loss: 2.1494
Step 2440/10000 | Train Loss: 2.1132
Step 2450/10000 | Train Loss: 2.1082
Step 2460/10000 | Train Loss: 2.0895
Step 2470/10000 | Train Loss: 2.1225
Step 2480/10000 | Train Loss: 2.1404
Step 2490/10000 | Train Loss: 2.1896
Step 2500/10000 | Train Loss: 2.0975 | Eval Train Loss: 2.1231
Step 2510/10000 | Train Loss: 2.0437
Step 2520/10000 | Train Loss: 2.1391
Step 2530/10000 | Train Loss: 2.1542
Step 2540/10000 | Train Loss: 2.0489
Step 2550/10000 | Train Loss: 2.1265
Step 2560/10000 | Train Loss: 2.1279
Step 2570/10000 | Train Loss: 2.1862
Step 2580/10000 | Train Loss: 2.0947
Step 2590/10000 | Train Loss: 2.1203
Step 2600/10000 | Train Loss: 2.0847 | Eval Train Loss: 2.1236
Step 2610/10000 | Train Loss: 2.1500
Step 2620/10000 | Train Loss: 2.0389
Step 2630/10000 | Train Loss: 2.1635
Step 2640/10000 | Train Loss: 2.0964
Step 2650/10000 | Train Loss: 2.1142
Step 2660/10000 | Train Loss: 2.1419
Step 2670/10000 | Train Loss: 2.1594
Step 2680/10000 | Train Loss: 2.0553
Step 2690/10000 | Train Loss: 2.1129
Step 2700/10000 | Train Loss: 2.1141 | Eval Train Loss: 2.0814
Step 2710/10000 | Train Loss: 2.0212
Step 2720/10000 | Train Loss: 2.0570
Step 2730/10000 | Train Loss: 2.0680
Step 2740/10000 | Train Loss: 2.0559
Step 2750/10000 | Train Loss: 2.0806
Step 2760/10000 | Train Loss: 2.0542
Step 2770/10000 | Train Loss: 2.0666
Step 2780/10000 | Train Loss: 2.0798
Step 2790/10000 | Train Loss: 2.0809
Step 2800/10000 | Train Loss: 2.1023 | Eval Train Loss: 2.0745
Step 2810/10000 | Train Loss: 2.0259
Step 2820/10000 | Train Loss: 2.0051
Step 2830/10000 | Train Loss: 2.0463
Step 2840/10000 | Train Loss: 2.0480
Step 2850/10000 | Train Loss: 2.0604
Step 2860/10000 | Train Loss: 2.0798
Step 2870/10000 | Train Loss: 2.0562
Step 2880/10000 | Train Loss: 2.0580
Step 2890/10000 | Train Loss: 2.0961
Step 2900/10000 | Train Loss: 2.0928 | Eval Train Loss: 2.0749
Step 2910/10000 | Train Loss: 2.0671
Step 2920/10000 | Train Loss: 1.9888
Step 2930/10000 | Train Loss: 1.9951
Step 2940/10000 | Train Loss: 2.0191
Step 2950/10000 | Train Loss: 2.0377
Step 2960/10000 | Train Loss: 2.0256
Step 2970/10000 | Train Loss: 2.0566
Step 2980/10000 | Train Loss: 2.0061
Step 2990/10000 | Train Loss: 2.0895
Step 3000/10000 | Train Loss: 2.0065 | Eval Train Loss: 2.0673
Step 3010/10000 | Train Loss: 2.0113
Step 3020/10000 | Train Loss: 2.0198
Step 3030/10000 | Train Loss: 2.1211
Step 3040/10000 | Train Loss: 2.0592
Step 3050/10000 | Train Loss: 2.0312
Step 3060/10000 | Train Loss: 2.0048
Step 3070/10000 | Train Loss: 1.9910
Step 3080/10000 | Train Loss: 2.0717
Step 3090/10000 | Train Loss: 2.0011
Step 3100/10000 | Train Loss: 2.0944 | Eval Train Loss: 2.0294
Step 3110/10000 | Train Loss: 2.0278
Step 3120/10000 | Train Loss: 2.0608
Step 3130/10000 | Train Loss: 2.0024
Step 3140/10000 | Train Loss: 2.0742
Step 3150/10000 | Train Loss: 1.9914
Step 3160/10000 | Train Loss: 1.9804
Step 3170/10000 | Train Loss: 1.9690
Step 3180/10000 | Train Loss: 2.0497
Step 3190/10000 | Train Loss: 2.0268
Step 3200/10000 | Train Loss: 1.9667 | Eval Train Loss: 2.0218
Step 3210/10000 | Train Loss: 2.0459
Step 3220/10000 | Train Loss: 2.0421
Step 3230/10000 | Train Loss: 2.0121
Step 3240/10000 | Train Loss: 2.0280
Step 3250/10000 | Train Loss: 2.0696
Step 3260/10000 | Train Loss: 2.0003
Step 3270/10000 | Train Loss: 2.0185
Step 3280/10000 | Train Loss: 2.0392
Step 3290/10000 | Train Loss: 2.0298
Step 3300/10000 | Train Loss: 1.9969 | Eval Train Loss: 2.0078
Step 3310/10000 | Train Loss: 2.0086
Step 3320/10000 | Train Loss: 2.0282
